timestamp,,e_point,n_point,e_cur,n_cur,Cur_head,Head_ref,,Head_command,
1.65661E+12,10974.73999,0,0,1.78,1.119,104.8624954,0,0,0,0
1.65661E+12,11075.28003,0,0,1.781,1.119,105.0087128,0,0,0,0
1.65661E+12,11176.30005,0,0,1.781,1.119,105.1004486,0,0,0,0
1.65661E+12,11276.76001,0,0,1.781,1.118,105.2377472,0,0,0,0
1.65661E+12,11377.48999,0,0,1.781,1.118,105.3214722,0,0,0,0
1.65661E+12,11477.8999,0,0,1.781,1.118,105.4135971,0,0,0,0
1.65661E+12,11578.44995,0,0,1.781,1.116,105.5226746,0,0,0,0
1.65661E+12,11678.80005,0,0,1.782,1.119,105.6141739,0,0,0,0
1.65661E+12,11779.15991,0,0,1.782,1.119,105.6553345,0,0,0,0
1.65661E+12,11879.46997,0,0,1.782,1.123,105.7271423,0,0,0,0
1.65661E+12,11979.81982,0,0,1.782,1.123,105.8163452,0,0,0,0
1.65661E+12,12080.13989,0,0,1.782,1.123,106.0687561,0,0,0,0
1.65661E+12,12180.71997,0,0,1.782,1.12,106.199585,0,0,0,0
1.65661E+12,12281.27002,0,0,1.782,1.12,106.4395752,0,0,0,0
1.65661E+12,12381.72998,0,0,1.782,1.114,106.7050858,0,0,0,0
1.65661E+12,12482.37988,0,0,1.782,1.107,106.9912338,0,0,0,0
1.65661E+12,12583.07983,0,0,1.782,1.107,107.1872787,0,0,0,0
1.65661E+12,12683.55981,0,0,1.782,1.099,107.3413773,0,0,0,0
1.65661E+12,12785.79004,0,0,1.782,1.098,107.4654083,0,0,0,0
1.65661E+12,12886.27002,0,0,1.782,1.098,107.5422745,0,0,0,0
1.65661E+12,12986.80981,0,0,1.781,1.102,107.6038132,0,0,0,0
1.65661E+12,13087.12988,0,0,1.781,1.102,107.6018448,0,0,0,0
1.65661E+12,13187.3999,0,0,1.781,1.108,107.601326,0,0,0,0
1.65661E+12,13287.78003,0,0,1.782,1.112,107.5986328,0,0,0,0
1.65661E+12,13388.08984,0,0,1.782,1.112,107.6254654,0,0,0,0
1.65661E+12,13488.58984,0,0,1.782,1.115,107.6584091,0,0,0,0
1.65661E+12,13588.88989,0,0,1.783,1.116,107.681282,0,0,0,0
1.65661E+12,13689.17993,0,0,1.783,1.116,107.6909409,0,0,0,0
1.65661E+12,13789.55981,0,0,1.783,1.115,107.6878738,0,0,0,0
1.65661E+12,13889.86987,0,0,1.783,1.115,107.6936874,0,0,0,0
1.65661E+12,13990.13989,0,0,1.782,1.114,107.6571121,0,0,0,0
1.65661E+12,14090.40991,0,0,1.782,1.115,107.6297226,0,0,0,0
1.65661E+12,14190.69995,0,0,1.782,1.115,107.6154633,0,0,0,0
1.65661E+12,14290.98999,0,0,1.781,1.117,107.5890884,0,0,0,0
1.65661E+12,14391.36987,0,0,1.781,1.119,107.5536041,0,0,0,0
1.65661E+12,14491.65991,0,0,1.781,1.119,107.463913,0,0,0,0
1.65661E+12,14591.92993,0,0,1.781,1.121,107.2162781,0,0,0,0
1.65661E+12,14692.71997,0,0,1.781,1.121,107.1283035,0,0,0,0
1.65661E+12,14793.12988,0,0,1.781,1.122,107.0478363,0,0,0,0
1.65661E+12,14893.45996,0,0,1.781,1.123,106.9029083,0,0,0,0
1.65661E+12,14994.05005,0,0,1.781,1.123,106.8559189,0,0,0,0
1.65661E+12,15095.10986,0,0,1.781,1.124,106.7578735,0,0,0,0
1.65661E+12,15195.59985,0,0,1.78,1.124,106.6730728,0,0,0,0
1.65661E+12,15295.93994,0,0,1.78,1.124,106.5681152,0,0,0,0
1.65661E+12,15396.30981,0,0,1.779,1.124,106.5474548,0,0,0,0
1.65661E+12,15497.07983,0,0,1.779,1.124,106.5457687,0,0,0,0
1.65661E+12,15597.56982,0,0,1.777,1.124,106.5488358,0,0,0,0
1.65661E+12,15697.94995,0,0,1.776,1.123,106.5722427,0,0,0,0
1.65661E+12,15798.26001,0,0,1.776,1.123,106.6824722,0,0,0,0
1.65661E+12,15898.58984,0,0,1.776,1.122,106.7846222,0,0,0,0
1.65661E+12,15999.05981,0,0,1.777,1.122,106.9030609,0,0,0,0
1.65661E+12,16099.65991,0,0,1.777,1.122,107.0078583,0,0,0,0
1.65661E+12,16199.97998,0,0,1.779,1.122,107.1135178,0,0,0,0
1.65661E+12,16300.41992,0,0,1.779,1.122,107.124794,0,0,0,0
1.65661E+12,16400.76001,0,0,1.78,1.123,107.1281586,0,0,0,0
1.65661E+12,16501.3999,0,0,1.782,1.124,107.1414795,0,0,0,0
1.65661E+12,16602.13989,0,0,1.782,1.124,107.1809845,0,0,0,0
1.65661E+12,16702.53003,0,0,1.783,1.125,107.2160263,0,0,0,0
1.65661E+12,16803.55005,0,0,1.783,1.127,107.2362137,0,0,0,0
