timestamp,,e_point,n_point,e_cur,n_cur,,,Cur_head,Head_ref,Head_command
1.65661E+12,2734.620117,0,0,1.184,1.171,0,0,92.25286865,0,0
1.65661E+12,2834.939941,0,0,1.184,1.169,0,-0.019936239,92.31077576,0,0
1.65661E+12,2935.26001,0,0,1.184,1.168,0,-0.009968095,92.353302,0,0
1.65661E+12,3035.550049,0,0,1.184,1.168,0,0,92.42900085,0,0
1.65661E+12,3135.969971,0,0,1.184,1.167,0,-0.009958183,92.47684479,0,0
1.65661E+12,3236.340088,0,0,1.184,1.168,0,0.009963125,92.54039001,0,0
1.65661E+12,3336.640137,0,0,1.184,1.168,0,0,92.6151886,0,0
1.65661E+12,3436.910156,0,0,1.184,1.169,0,0.009973071,92.65895081,0,0
1.65661E+12,3537.370117,0,0,1.184,1.169,0,0,92.68013,0,0
1.65661E+12,3638.420166,0,0,1.184,1.17,0,0.009896086,92.68888092,0,0
1.65661E+12,3738.73999,0,0,1.184,1.17,0,0,92.61673737,0,0
1.65661E+12,3839.02002,0,0,1.184,1.17,0,0,92.46483612,0,0
1.65661E+12,3939.320068,0,0,1.184,1.171,0,0.009970085,92.48353577,0,0
1.65661E+12,4039.600098,0,0,1.183,1.171,-0.009972075,0,92.54363251,0,0
1.65661E+12,4139.890137,0,0,1.183,1.171,0,0,92.57066345,0,0
1.65661E+12,4240.170166,0,0,1.183,1.171,0,0,92.58679199,0,0
1.65661E+12,4340.429932,0,0,1.183,1.171,0,0,92.59261322,0,0
1.65661E+12,4440.77002,0,0,1.183,1.171,0,0,92.59642029,0,0
1.65661E+12,4541.560059,0,0,1.183,1.172,0,0.009921615,92.61177826,0,0
1.65661E+12,4642.459961,0,0,1.183,1.172,0,0,92.64015961,0,0
1.65661E+12,4743.459961,0,0,1.183,1.172,0,0,92.65818787,0,0
1.65661E+12,4843.850098,0,0,1.182,1.172,-0.009961138,0,92.67396545,0,0
1.65661E+12,4944.189941,0,0,1.182,1.172,0,0,92.68543243,0,0
1.65661E+12,5044.540039,0,0,1.181,1.171,-0.009965112,-0.009965112,92.71813965,0,0
1.65661E+12,5144.910156,0,0,1.181,1.171,0,0,92.75740051,0,0
1.65661E+12,5245.179932,0,0,1.18,1.169,-0.009973095,-0.01994619,92.82342529,0,0
1.65661E+12,5345.550049,0,0,1.18,1.166,0,-0.029889374,92.88996124,0,0
1.65661E+12,5445.949951,0,0,1.18,1.166,0,0,92.99069214,0,0
1.65661E+12,5546.550049,0,0,1.18,1.165,0,-0.009940348,93.07841492,0,0
1.65661E+12,5646.890137,0,0,1.181,1.164,0.009966106,-0.009966106,93.12644958,0,0
1.65661E+12,5747.709961,0,0,1.181,1.164,0,0,93.20576477,0,0
1.65661E+12,5848.110107,0,0,1.182,1.165,0.009960145,0.009960145,93.2509613,0,0
1.65661E+12,5948.420166,0,0,1.182,1.165,0,0,93.27793121,0,0
1.65661E+12,6048.76001,0,0,1.182,1.165,0,0,93.3274765,0,0
1.65661E+12,6149.429932,0,0,1.181,1.166,-0.009933454,0.009933454,93.36736298,0,0
1.65661E+12,6249.790039,0,0,1.181,1.166,0,0,93.38301086,0,0
1.65661E+12,6350.449951,0,0,1.181,1.167,0,0.009934441,93.3519516,0,0
1.65661E+12,6450.830078,0,0,1.18,1.167,-0.009962131,0,93.327034,0,0
1.65661E+12,6552.01001,0,0,1.18,1.167,0,0,93.31407166,0,0
1.65661E+12,6653.25,0,0,1.181,1.168,0.00987752,0.00987752,93.30732727,0,0
1.65661E+12,6753.929932,0,0,1.181,1.168,0,0,93.30354309,0,0
1.65661E+12,6854.570068,0,0,1.18,1.168,-0.009936393,0,93.25375366,0,0
1.65661E+12,6955.01001,0,0,1.18,1.168,0,0,93.23234558,0,0
1.65661E+12,7055.400146,0,0,1.18,1.168,0,0,93.32453918,0,0
1.65661E+12,7155.709961,0,0,1.18,1.167,0,-0.009969114,93.38820648,0,0
1.65661E+12,7256.120117,0,0,1.18,1.166,0,-0.009959152,93.44589233,0,0
1.65661E+12,7356.949951,0,0,1.18,1.166,0,0,93.56775665,0,0
1.65661E+12,7457.26001,0,0,1.18,1.164,0,-0.01993818,93.66080475,0,0
1.65661E+12,7557.580078,0,0,1.18,1.164,0,0,93.79233551,0,0
1.65661E+12,7658.25,0,0,1.181,1.164,0.009933454,0,93.92784119,0,0
1.65661E+12,7758.590088,0,0,1.183,1.165,0.019932213,0.009966106,94.03623962,0,0
1.65661E+12,7858.97998,0,0,1.183,1.165,0,0,94.11477661,0,0
1.65661E+12,7959.47998,0,0,1.185,1.167,0.019900498,0.019900498,94.15875244,0,0
1.65661E+12,8059.929932,0,0,1.186,1.169,0.009955206,0.019910413,94.17853546,0,0
1.65661E+12,8160.25,0,0,1.186,1.169,0,0,94.07793427,0,0
1.65661E+12,8260.620117,0,0,1.186,1.171,0,0.01992625,94.03010559,0,0
1.65661E+12,8361.219971,0,0,1.186,1.171,0,0,93.95855713,0,0
1.65661E+12,8461.72998,0,0,1.186,1.171,0,0,93.83409119,0,0
1.65661E+12,8562.01001,0,0,1.185,1.17,-0.009972075,-0.009972075,93.74389648,0,0
1.65661E+12,8662.439941,0,0,1.185,1.17,0,0,93.57897186,0,0
